"dms.lat"	"dms.lon"
"N48:10:11.994"	"E17:4:11.999"
"N49:16:12.002"	"E20:8:23.998"
"N48:34:48.006"	"E7:44:23.999"
"N40:42:35.997"	"E0:34:12"
"N39:30:35.994"	"W0:25:12"
"N43:17:24.003"	"E5:24:0"
"N45:9:35.999"	"E18:1:12.002"
"N45:49:48.006"	"E16:1:48.003"
"N45:49:48.006"	"E15:58:47.998"
"N47:50:24.001"	"E1:56:24"
"N47:50:59.995"	"E4:40:47.999"
"N47:50:59.995"	"E1:55:12"
"N48:35:59.995"	"E7:42:36"
"N45:47:24.003"	"E4:42:36"
"N43:32:59.997"	"E1:28:12"
"N14:39:35.999"	"W17:26:24.002"
"N14:39:35.999"	"W17:26:24.002"
"N48:40:48.001"	"E6:11:24"
"N43:17:59.997"	"E5:22:12"
"N41:49:48.006"	"W71:24:0.005"
"N33:56:23.995"	"W83:22:47.99"
"N35:16:12.002"	"E25:3:35.998"
"N44:48:36.005"	"E20:27:0.003"
"N6:22:12"	"E2:22:12"
"N33:56:23.995"	"W83:22:12.01"
"N40:20:59.995"	"W74:39:36.013"
"N59:19:11.999"	"E18:9:35.999"
"N63:49:11.999"	"E20:17:59.997"
"N63:49:11.999"	"E20:19:11.999"
"N63:50:59.995"	"E20:19:48"
"N63:49:11.999"	"E20:17:59.997"
"N63:49:11.999"	"E20:17:59.997"
"N63:50:59.995"	"E20:19:48"
"N63:50:59.995"	"E20:19:48"
"N47:24:0.005"	"E8:33:0.001"
"N47:0:0"	"E6:56:59.999"
"N39:55:48.001"	"E32:51:36.002"
"N38:27:0.003"	"E27:13:11.997"
"N38:25:48.001"	"E27:7:47.997"
"N37:58:12.004"	"E34:40:48.001"
"N51:41:23.995"	"W1:22:12"
"N56:55:48.001"	"W4:14:23.999"
"N55:51:36.002"	"W3:12:36"
"N53:24:35.999"	"W2:58:48"
"N53:24:35.999"	"W2:58:48"
"N51:31:12.002"	"W0:7:48"
"N51:30:0"	"W0:10:48"
"N51:45:35.994"	"W1:15:0"
"N51:45:35.994"	"W1:15:0"
"N51:45:35.994"	"W1:15:0"
"N51:45:35.994"	"W1:15:0"
"N51:45:0"	"W1:16:12"
"N50:56:23.995"	"W1:24:0"
"N56:8:23.998"	"W3:55:12"
"N33:47:24.003"	"W84:19:11.999"
"N55:52:11.996"	"W4:17:24"
"N41:31:47.996"	"W70:39:36.013"
"N41:17:59.997"	"W72:55:48.001"
"N43:37:48.004"	"E3:51:36"
"N34:0:0"	"W6:50:24.001"
"N37:15:0"	"W6:57:36"
"N24:6:0.001"	"E3:44:24"
"N36:45:0"	"E3:3:36"
"N48:12:35.997"	"E11:34:48"
"N4:55:47.999"	"W52:19:48.006"
"N46:1:47.996"	"E11:3:0.001"
"N40:38:23.998"	"W3:27:0"
"N59:20:59.995"	"E18:1:48.003"
"N48:15:0"	"E11:33:0.001"
"N49:26:23.995"	"E11:50:24.001"
"N51:32:24.003"	"E9:56:23.999"
"N1:17:24"	"E103:47:24.003"
"N55:42:35.997"	"E13:11:59.999"
"N48:15:0"	"E16:25:48.001"
"N47:30:35.994"	"E19:7:12.003"
"N56:58:12.004"	"E24:14:23.999"
"N56:57:0.003"	"E24:2:59.997"
"N56:58:47.998"	"E24:12:0.003"
"N51:45:35.994"	"W1:13:12"
"N40:37:48.004"	"W3:28:12"
"N44:25:48.001"	"E26:4:48"
"N44:25:48.001"	"E26:4:48"
"N43:38:23.998"	"E3:50:24"
"N52:23:23.998"	"E9:42:36"
"N40:25:11.994"	"W3:41:24"
"N38:44:24.006"	"W9:8:59.999"
"N35:10:3.355"	"E33:22:25.042"
"N37:58:47.998"	"E23:45:36.001"
"N38:0:0"	"E23:40:48.001"
"N59:20:59.995"	"E18:1:48.003"
"N59:20:59.995"	"E18:1:48.003"
"N59:20:59.995"	"E18:1:48.003"
"N37:11:23.995"	"W3:36:0"
"N59:36:36.002"	"E17:53:23.998"
"N39:28:47.998"	"W0:21:36"
"N42:59:24.006"	"W7:33:0.001"
"N40:28:12.004"	"W3:52:12"
"N40:27:0.003"	"W3:43:48"
"N40:27:0.003"	"W3:59:24"
"N37:10:48.001"	"W3:36:36"
"N37:22:48.004"	"W5:59:23.999"
"N43:18:36.005"	"W2:54:0"
"N40:26:23.995"	"W3:41:24"
"N40:28:47.998"	"W3:41:24"
"N40:28:12.004"	"W3:52:12"
"N41:22:48.004"	"E2:7:12"
"N42:50:59.995"	"W2:40:48"
"N46:2:59.997"	"E14:31:12.002"
"N46:2:59.997"	"E14:30:0"
"N40:38:23.998"	"W3:34:12"
"N48:10:11.994"	"E17:4:11.999"
"N48:43:47.998"	"E21:15:36.001"
"N14:39:35.999"	"W17:26:24.002"
"N14:43:12.001"	"W17:26:24.002"
"N14:43:12.001"	"W17:26:24.002"
"N51:50:24.001"	"E107:36:36.002"
"N38:46:12.002"	"W9:10:12"
"N38:42:0.003"	"W9:11:23.999"
"N44:27:0.003"	"E26:6:0.001"
"N44:27:0.003"	"E26:6:0.001"
"N45:10:11.994"	"E28:47:59.997"
"N38:42:0.003"	"W9:10:48.001"
"N38:39:35.999"	"W9:11:59.999"
"N52:15:0"	"E21:1:12.002"
"N51:56:23.995"	"E15:31:47.999"
"N53:45:35.994"	"E20:27:35.997"
"N52:27:35.997"	"E16:55:48.001"
"N52:13:12.004"	"E21:0:36.001"
"N53:7:48.004"	"E23:10:12"
"N51:46:47.996"	"E19:28:47.998"
"N52:4:48.006"	"E5:10:47.999"
"N52:32:59.997"	"E5:29:23.999"
"N51:50:24.001"	"E5:51:36"
"N52:4:48.006"	"E5:10:47.999"
"N33:58:47.998"	"W6:51:36"
"N34:0:35.994"	"W6:50:24.001"
"N34:0:35.994"	"W6:50:24.001"
"N34:0:35.994"	"W6:50:24.001"
"N34:0:35.994"	"W6:50:24.001"
"S1:16:48"	"E36:47:59.997"
"N56:58:12.004"	"E24:8:59.999"
"N54:42:35.997"	"E25:17:24.003"
"N54:40:48.001"	"E25:16:48.003"
"N46:4:48.006"	"E11:7:12"
"N46:11:23.995"	"E11:8:24.001"
"N42:39:35.999"	"E13:42:36"
"N46:4:11.999"	"E11:8:59.999"
"N46:4:11.999"	"E11:7:12"
"N41:52:48.004"	"E12:29:23.999"
"N41:54:0.005"	"E12:31:12.002"
"N41:54:0.005"	"E12:31:12.002"
"N41:54:0.005"	"E12:30:36.001"
"N41:52:48.004"	"E12:29:23.999"
"N30:36:36.002"	"E34:47:59.997"
